,ImageID,distance,location
0,0,351,"[152, 230]"
1,1,372,"[278, 276]"
2,2,488,"[262, 385]"
3,3,308,"[260, 78]"
4,4,67,"[336, 272]"
5,5,372,"[392, 373]"
6,6,142,"[345, 281]"
7,7,206,"[282, 359]"
8,8,201,"[172, 425]"
9,9,204,"[294, 257]"
10,10,105,"[143, 123]"
11,11,221,"[231, 362]"
12,12,317,"[178, 130]"
13,13,437,"[279, 71]"
14,14,220,"[440, 165]"
15,15,368,"[368, 87]"
16,16,248,"[94, 109]"
17,17,126,"[194, 289]"
18,18,190,"[280, 189]"
19,19,228,"[199, 182]"
20,20,161,"[398, 316]"
21,21,349,"[209, 257]"
22,22,484,"[83, 113]"
23,23,297,"[51, 274]"
24,24,153,"[323, 165]"
25,25,192,"[262, 270]"
26,26,371,"[243, 282]"
27,27,330,"[219, 39]"
28,28,107,"[461, 178]"
29,29,313,"[183, 80]"
30,30,157,"[292, 255]"
31,31,111,"[212, 282]"
32,32,465,"[116, 330]"
33,33,209,"[237, 139]"
34,34,209,"[185, 373]"
35,35,364,"[178, 310]"
36,36,408,"[371, 56]"
37,37,256,"[193, 213]"
38,38,96,"[279, 187]"
39,39,400,"[306, 188]"
40,40,432,"[289, 247]"
41,41,112,"[368, 206]"
42,42,338,"[252, 283]"
43,43,108,"[55, 261]"
44,44,156,"[282, 199]"
45,45,346,"[285, 262]"
46,46,479,"[432, 214]"
47,47,295,"[291, 254]"
48,48,401,"[325, 392]"
49,49,220,"[12, 234]"
50,50,211,"[306, 279]"
51,51,243,"[175, 275]"
52,52,373,"[291, 228]"
53,53,292,"[127, 102]"
54,54,106,"[220, 306]"
55,55,352,"[262, 241]"
56,56,173,"[292, 268]"
57,57,358,"[286, 236]"
58,58,450,"[262, 305]"
59,59,476,"[45, 214]"
60,60,133,"[340, 264]"
61,61,195,"[90, 339]"
62,62,170,"[332, 212]"
63,63,219,"[252, 242]"
64,64,166,"[451, 252]"
65,65,95,"[290, 232]"
66,66,367,"[168, 157]"
67,67,359,"[301, 211]"
68,68,241,"[211, 261]"
69,69,367,"[313, 230]"
70,70,353,"[249, 186]"
71,71,113,"[234, 188]"
72,72,400,"[243, 186]"
73,73,106,"[256, 231]"
74,74,247,"[109, 237]"
75,75,448,"[78, 78]"
76,76,265,"[213, 205]"
77,77,171,"[263, 361]"
78,78,342,"[370, 108]"
79,79,190,"[328, 313]"
80,80,407,"[347, 132]"
81,81,352,"[280, 297]"
82,82,146,"[181, 418]"
83,83,251,"[225, 269]"
84,84,282,"[279, 181]"
85,85,210,"[419, 351]"
86,86,214,"[260, 244]"
87,87,424,"[93, 120]"
88,88,209,"[422, 155]"
89,89,125,"[233, 193]"
90,90,185,"[215, 215]"
91,91,321,"[290, 229]"
92,92,94,"[272, 258]"
93,93,414,"[276, 255]"
94,94,258,"[443, 292]"
95,95,288,"[229, 165]"
96,96,214,"[343, 411]"
97,97,167,"[360, 268]"
98,98,271,"[364, 178]"
99,99,368,"[239, 283]"
100,100,344,"[344, 290]"
101,101,337,"[146, 250]"
102,102,345,"[178, 124]"
103,103,143,"[79, 253]"
104,104,445,"[57, 274]"
105,105,352,"[253, 79]"
106,106,453,"[410, 278]"
107,107,87,"[216, 227]"
108,108,301,"[351, 391]"
109,109,70,"[239, 280]"
110,110,371,"[172, 425]"
111,111,412,"[82, 173]"
112,112,264,"[402, 437]"
113,113,394,"[68, 376]"
114,114,321,"[182, 306]"
115,115,323,"[340, 145]"
116,116,435,"[180, 206]"
117,117,112,"[215, 223]"
118,118,177,"[401, 127]"
119,119,286,"[244, 221]"
120,120,172,"[204, 195]"
121,121,132,"[404, 195]"
122,122,68,"[218, 234]"
123,123,457,"[221, 411]"
124,124,204,"[266, 311]"
125,125,184,"[226, 204]"
126,126,433,"[126, 201]"
127,127,478,"[321, 223]"
128,128,399,"[163, 413]"
129,129,277,"[249, 270]"
130,130,105,"[318, 301]"
131,131,433,"[253, 203]"
132,132,463,"[64, 198]"
133,133,402,"[133, 185]"
134,134,268,"[150, 77]"
135,135,481,"[135, 40]"
136,136,268,"[202, 280]"
137,137,433,"[209, 219]"
138,138,360,"[216, 143]"
139,139,102,"[214, 190]"
140,140,266,"[104, 328]"
141,141,462,"[211, 257]"
142,142,261,"[316, 390]"
143,143,267,"[224, 265]"
144,144,168,"[328, 299]"
145,145,415,"[316, 243]"
146,146,448,"[315, 301]"
147,147,222,"[108, 304]"
148,148,393,"[219, 145]"
149,149,472,"[197, 324]"
150,150,407,"[297, 360]"
151,151,372,"[301, 297]"
152,152,255,"[373, 327]"
153,153,465,"[198, 312]"
154,154,352,"[285, 298]"
155,155,279,"[168, 407]"
156,156,159,"[288, 185]"
157,157,176,"[282, 54]"
158,158,344,"[314, 172]"
159,159,217,"[209, 70]"
160,160,151,"[269, 348]"
161,161,251,"[99, 342]"
162,162,438,"[255, 396]"
163,163,254,"[375, 459]"
164,164,394,"[332, 270]"
165,165,266,"[148, 436]"
166,166,119,"[235, 326]"
167,167,263,"[271, 327]"
168,168,351,"[319, 178]"
169,169,476,"[113, 242]"
170,170,201,"[372, 398]"
171,171,331,"[334, 294]"
172,172,358,"[358, 209]"
173,173,403,"[351, 81]"
174,174,214,"[199, 314]"
175,175,389,"[313, 391]"
176,176,447,"[426, 240]"
177,177,329,"[336, 293]"
178,178,425,"[275, 297]"
179,179,314,"[388, 81]"
180,180,177,"[267, 302]"
181,181,203,"[332, 413]"
182,182,175,"[242, 172]"
183,183,339,"[225, 240]"
184,184,328,"[125, 255]"
185,185,355,"[207, 261]"
186,186,75,"[238, 305]"
187,187,480,"[253, 414]"
188,188,157,"[357, 239]"
189,189,468,"[229, 281]"
190,190,172,"[374, 202]"
191,191,390,"[221, 185]"
192,192,228,"[125, 245]"
193,193,231,"[268, 294]"
194,194,375,"[377, 249]"
195,195,475,"[298, 209]"
196,196,178,"[376, 420]"
197,197,222,"[273, 230]"
198,198,80,"[284, 364]"
199,199,344,"[247, 364]"
200,200,198,"[147, 198]"
201,201,126,"[90, 228]"
202,202,352,"[274, 393]"
203,203,280,"[284, 310]"
204,204,248,"[198, 214]"
205,205,218,"[142, 342]"
206,206,437,"[63, 335]"
207,207,352,"[133, 233]"
208,208,201,"[176, 193]"
209,209,443,"[374, 279]"
210,210,337,"[195, 255]"
211,211,140,"[217, 254]"
212,212,379,"[254, 478]"
